Time	Waarde	Status	Kwaliteit	Reason	Status	Suppression Type
15-1-2024 11:27:29.558	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
15-1-2024 11:15:17.273	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
11-1-2024 11:25:56.454	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
11-1-2024 10:36:04.174	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
6-1-2024 13:25:13.328	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
6-1-2024 13:11:08.018	1	Normal	Goed	Huidige Data	Valid	None
4-1-2024 13:25:13.200	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
4-1-2024 10:41:19.505	2	Normal	Goed	Huidige Data	Valid	None
4-1-2024 8:39:45.154	1	Normal	Goed	Huidige Data	Valid	None
4-1-2024 7:42:31.504	2	Normal	Goed	Huidige Data	Valid	None
27-12-2023 11:01:05.153	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
27-12-2023 10:50:29.073	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
27-12-2023 8:46:38.885	1	Normal	Goed	Huidige Data	Valid	None
26-12-2023 15:41:38.947	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
26-12-2023 14:23:16.664	2	Normal	Goed	Huidige Data	Valid	None
26-12-2023 13:25:13.179	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
26-12-2023 11:47:39.164	1	Normal	Goed	Huidige Data	Valid	None
26-12-2023 11:47:32.414	3	Normal	Goed	Huidige Data	Valid	None
26-12-2023 11:33:11.064	1	Normal	Goed	Huidige Data	Valid	None
25-12-2023 13:25:13.435	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
25-12-2023 9:15:51.699	2	Normal	Goed	Huidige Data	Valid	None
25-12-2023 8:55:33.699	1	Normal	Goed	Huidige Data	Valid	None
25-12-2023 8:52:23.599	2	Normal	Goed	Huidige Data	Valid	None
25-12-2023 8:43:31.699	1	Normal	Goed	Huidige Data	Valid	None
25-12-2023 8:41:28.899	3	Normal	Goed	Huidige Data	Valid	None
25-12-2023 8:40:53.249	4	Normal	Goed	Huidige Data	Valid	None
24-12-2023 13:25:13.461	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
24-12-2023 7:39:56.450	2	Normal	Goed	Huidige Data	Valid	None
23-12-2023 13:25:13.193	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
23-12-2023 9:38:23.449	1	Normal	Goed	Huidige Data	Valid	None
23-12-2023 9:36:18.449	5	Normal	Goed	Huidige Data	Valid	None
23-12-2023 9:18:49.049	1	Normal	Goed	Huidige Data	Valid	None
23-12-2023 9:18:33.649	3	Normal	Goed	Huidige Data	Valid	None
23-12-2023 9:17:57.999	4	Normal	Goed	Huidige Data	Valid	None
22-12-2023 10:41:22.723	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
22-12-2023 6:19:47.699	2	Normal	Goed	Huidige Data	Valid	None
13-12-2023 1:25:13.343	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
12-12-2023 14:07:19.087	1	Normal	Goed	Huidige Data	Valid	None
12-12-2023 13:25:13.711	5	Normal	Goed	Huidige Data	Valid; Time Substituted	None
12-12-2023 13:17:24.137	5	Normal	Goed	Huidige Data	Valid	None
5-12-2023 13:25:13.300	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
5-12-2023 13:05:15.328	1	Normal	Goed	Huidige Data	Valid	None
5-12-2023 11:29:44.428	5	Normal	Goed	Huidige Data	Valid	None
5-12-2023 11:27:45.028	4	Normal	Goed	Huidige Data	Valid	None
5-12-2023 9:05:21.728	3	Normal	Goed	Huidige Data	Valid	None
4-12-2023 9:25:45.797	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
4-12-2023 9:14:21.971	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
2-12-2023 1:25:13.153	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
1-12-2023 14:29:08.439	1	Normal	Goed	Huidige Data	Valid	None
1-12-2023 14:24:53.939	2	Normal	Goed	Huidige Data	Valid	None
28-11-2023 13:25:13.449	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
28-11-2023 9:17:45.863	1	Normal	Goed	Huidige Data	Valid	None
27-11-2023 13:25:13.249	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
27-11-2023 13:15:07.399	2	Normal	Goed	Huidige Data	Valid	None
16-11-2023 1:25:13.439	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
15-11-2023 13:56:28.112	1	Normal	Goed	Huidige Data	Valid	None
15-11-2023 13:39:54.662	2	Normal	Goed	Huidige Data	Valid	None
15-11-2023 13:39:42.012	1	Normal	Goed	Huidige Data	Valid	None
15-11-2023 13:36:18.312	2	Normal	Goed	Huidige Data	Valid	None
8-11-2023 1:25:13.170	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
7-11-2023 13:54:03.058	1	Normal	Goed	Huidige Data	Valid	None
7-11-2023 13:49:50.258	5	Normal	Goed	Huidige Data	Valid	None
