Time;Waarde;Status;Kwaliteit;Reason;Status.1;Suppression Type
2022-10-26 15:06:28.154;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-10-26 14:02:56.838;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-10-26 13:56:03.017;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-10-25 14:25:04.739;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-10-25 10:29:37.715;3;Normal;Goed;Huidige Data;Valid;
2022-10-25 10:29:37.615;3;Normal;Goed;Huidige Data;Valid;
2022-10-14 20:20:45.116;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-10-12 13:07:00.962;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-10-12 11:04:31.923;3;Normal;Goed;Huidige Data;Valid;
2022-10-12 08:59:16.523;2;Normal;Goed;Huidige Data;Valid;
2022-10-11 14:25:06.606;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-10-11 14:00:19.062;3;Normal;Goed;Huidige Data;Valid;
2022-10-11 13:58:53.962;1;Normal;Goed;Huidige Data;Valid;
2022-10-11 13:56:32.862;0;Normal;Goed;Huidige Data;Valid;
2022-10-11 13:55:33.162;32;Normal;Goed;Huidige Data;Valid;
2022-10-11 13:52:16.563;0;Normal;Goed;Huidige Data;Valid;
2022-10-11 13:40:29.962;1;Normal;Goed;Huidige Data;Valid;
2022-10-11 13:36:26.462;3;Normal;Goed;Huidige Data;Valid;
2022-10-11 13:18:08.962;2;Normal;Goed;Huidige Data;Valid;
2022-10-06 11:32:56.526;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-10-06 11:07:21.526;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-10-06 02:25:04.808;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-10-05 15:06:45.924;3;Normal;Goed;Huidige Data;Valid;
2022-10-05 15:04:35.923;1;Normal;Goed;Huidige Data;Valid;
2022-10-05 14:59:45.923;3;Normal;Goed;Huidige Data;Valid;
2022-10-05 14:57:03.923;1;Normal;Goed;Huidige Data;Valid;
2022-10-05 14:25:04.480;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-10-05 13:51:07.673;3;Normal;Goed;Huidige Data;Valid;
2022-10-05 13:51:01.373;35;Normal;Goed;Huidige Data;Valid;
2022-10-05 02:25:04.856;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-10-04 16:02:06.708;3;Normal;Goed;Huidige Data;Valid;
2022-10-04 15:58:57.708;1;Normal;Goed;Huidige Data;Valid;
2022-10-04 15:58:57.608;0;Normal;Goed;Huidige Data;Valid;
2022-10-04 15:56:42.008;1;Normal;Goed;Huidige Data;Valid;
2022-10-04 15:56:41.908;0;Normal;Goed;Huidige Data;Valid;
2022-10-04 15:42:11.708;1;Normal;Goed;Huidige Data;Valid;
2022-10-04 15:27:16.708;3;Normal;Goed;Huidige Data;Valid;
2022-10-04 15:23:03.693;1;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-10-04 15:07:53.509;1;Normal;Goed;Huidige Data;Valid;
2022-10-04 14:25:05.121;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2022-10-04 07:37:38.265;3;Normal;Goed;Huidige Data;Valid;
2022-10-04 07:36:38.465;35;Normal;Goed;Huidige Data;Valid;
2022-09-29 14:25:05.292;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
